name;socr;code;index;gninmb;uno;ocatd;status
Касимово;д;3700700009000;155845;3703;;24211820008;0
Кислячиха;д;3700700009100;155826;3703;;24211804019;0
Климушино;д;3700700009200;155827;3703;;24211812010;0
Кобылино;д;3700700009300;155839;3703;;24211804020;0
Козлиха (Ласкарихинское СП);д;3700700009400;155845;3703;;24211820009;0
Козлиха (Шилекшинское СП);д;3700700009500;155828;3703;;24211848011;0
Козловка;д;3700700009600;155843;3703;;24211840012;0
Кондраково;д;3700700009700;155840;3703;;24211836014;0
Кориха;д;3700700009800;155838;3703;;24211828012;0
Корсаково;д;3700700009900;155841;3703;;24211810005;0
Косикино;д;3700700010000;155840;3703;;24211836016;0
Кочи;д;3700700010100;155826;3703;;24211804022;0
Кочки;д;3700700010200;155824;3703;;24211808012;0
Крайчиково;д;3700700010300;155828;3703;;24211848012;0
Красники;д;3700700010400;155826;3703;;24211804023;0
Красногорский;с;3700700010500;155844;3703;;24211840018;0
Крутицы;д;3700700010600;155826;3703;;24211804024;0
Крючиха;д;3700700010700;155810;3703;;24211828013;0
Кузнечиха;д;3700700010800;155826;3703;;24211804025;0
Куляндино;д;3700700010900;155840;3703;;24211812012;0
Курино;д;3700700011000;155827;3703;;24211812013;0
Курочкино;д;3700700011100;155838;3703;;24211828014;0
Кутуниха;д;3700700011200;155824;3703;;24211808013;0
Лагуниха;д;3700700011300;155826;3703;;24211804026;0
Лаптиха;д;3700700011400;155831;3703;;24211832008;0
Лапшиново;д;3700700011500;155828;3703;;24211848013;0
Ласкариха;д;3700700011600;155843;3703;;24211840001;0
Линды;д;3700700011700;155826;3703;;24211804027;0
Лодыгино;д;3700700011800;155838;3703;;24211828015;0
Луговое;д;3700700011900;;3703;;24211828001;0
Льготино;д;3700700012000;155829;3703;;24211848033;0
Макарово;д;3700700012100;155839;3703;;24211804028;0
Малая;д;3700700012200;155827;3703;;24211812015;0
Мишутиха Малая;д;3700700012300;155838;3703;;24211828018;0
Мальцево;д;3700700012400;155840;3703;;24211812016;0
Манылово;д;3700700012500;155827;3703;;24211812017;0
Масленниково;д;3700700012600;155827;3703;;24211812018;0
Матвеево;д;3700700012700;155827;3703;;24211812019;0
Мелино;д;3700700012800;155838;3703;;24211828016;0
Мешино;д;3700700012900;155810;3703;;24211828017;0
Мозолиха;д;3700700013000;155824;3703;;24211808014;0
Молоковка;д;3700700013100;155840;3703;;24211836017;0
Мостовицы;д;3700700013200;155829;3703;;24211848034;0
Мостовица;д;3700700013202;155829;3703;;24211848034;0
